publishedAt,categoryId,channelId,channelTitle,vidTitle,tags,viewCount,likeCount,commentCount,thumbnail hq,thumbnail mq,thumbnail lq,videoId
2022-08-06T09:41:30Z,25,UCJekW1Vj5fCVEGdye_mBN6Q,SAMAA TV,"🔴 SAMAA News Live - Pakistan News Live - Latest News, Headlines, &amp; Breaking News - SAMAA TV","['Samaanews', 'Pakistan News', 'SAMAA NEWS LIVE', 'Pakistan News Live', 'Latest Pakistan News', 'Latest News', 'Pakistani News Live', 'Pakistan news24/7', 'Pakistan Latest News', 'Live News Update', 'Samaa News Live', 'Samaa Live', 'SAMAA News Youtube', 'SAMAA News Channel', 'Imran khan', 'live news today', 'samaa TV live', 'latest news live', 'news live', 'Pakistan latest News', 'Headlines', 'Live Stream 24/7', 'Breaking', 'Pakistan Latest news 24/7', 'Urdu Live 24/7', 'News', 'News Channel', 'live news']",43220760,72753,0,https://i.ytimg.com/vi/VGm487f2R5k/hqdefault_live.jpg,https://i.ytimg.com/vi/VGm487f2R5k/mqdefault_live.jpg,https://i.ytimg.com/vi/VGm487f2R5k/default_live.jpg,VGm487f2R5k
2022-07-25T01:02:25Z,25,UCYlh4lH762HvHt6mmiecyWQ,Sun News,🔴LIVE: Sun News Live | சன் நியூஸ் நேரலை | Tamil Latest News | Trending News | Erode East By Election,"['sun news live', 'tamil news live', 'live news', 'breaking news', 'sun news tamil', 'sun news', 'tamilnadu news', 'tamil news today', 'news headlines', 'tamil news headlines', 'sun tv news', 'tamil news sun tv', 'latest news today', 'tamilnadu news today', 'tamil news', 'news', 'online', 'viral news', 'latest news', 'tamil latest news', 'live update', 'tamil news channel', 'news channel live', 'today news tamil', 'latest tamil news', 'தமிழ் நியூஸ்', 'current news', 'political news', 'viral videos', 'headlines', 'trending videos']",37719542,76643,0,https://i.ytimg.com/vi/2ywxK3HC4iA/hqdefault_live.jpg,https://i.ytimg.com/vi/2ywxK3HC4iA/mqdefault_live.jpg,https://i.ytimg.com/vi/2ywxK3HC4iA/default_live.jpg,2ywxK3HC4iA
2022-08-26T10:02:03Z,25,UCjElJyiXmQXnWmceQ1JyKrA,Asianet Suvarna News,Suvarna News Live TV | ಕನ್ನಡ ಲೈವ್ ನ್ಯೂಸ್ | ಏಷ್ಯಾನೆಟ್ ಸುವರ್ಣ ನ್ಯೂಸ್ | Kannada News Live,"['suvarna news', 'suvarna news live', 'suvarna news kannada', 'suvarna news channel', 'suvarna news 24x7 live', 'suvarna news 24x7 live kannada', 'suvarna news channel live', 'suvarna news 24x7 live kannada today', 'suvarna news astrology', 'suvarna news discussion', 'suvarna news exclusive', 'suvarna news hour', 'suvarna news jataka phala', 'suvarna news kannada live', 'psi recruitment scam', 'kannada news channel', 'karnataka latest news', 'kannada news live', 'suvarna news live 24x7']",35466309,38210,,https://i.ytimg.com/vi/pN8Bo4CnAxI/hqdefault_live.jpg,https://i.ytimg.com/vi/pN8Bo4CnAxI/mqdefault_live.jpg,https://i.ytimg.com/vi/pN8Bo4CnAxI/default_live.jpg,pN8Bo4CnAxI
2022-12-27T07:18:10Z,27,UCJzcBX9R38KVkH7sWUn5apA,Super JoJo - Playtime with Friends,🔴Super JoJo Holiday Live Stream | Kids Songs | Nursery Rhymes,"['Super JoJo', 'Baby JoJo', 'JoJo English', 'Family Playroom', 'jojo', 'cartoon', 'nursery rhymes', 'learning English', 'leaning English', 'English', 'learn English', 'English animation', 'Super JoJo English', 'English educational video', 'English education', 'kids cartoon', 'kids English', 'children', 'children English', 'English cartoon', 'sing along', 'baby songs', 'lean English', 'JoJo live', 'super jojo live', 'Super JoJo livestreming', 'baby shark', 'happy birthday', 'merry christmas', 'christams songs', 'merry xmas']",35096941,206562,0,https://i.ytimg.com/vi/eusK2PUeCm8/hqdefault_live.jpg,https://i.ytimg.com/vi/eusK2PUeCm8/mqdefault_live.jpg,https://i.ytimg.com/vi/eusK2PUeCm8/default_live.jpg,eusK2PUeCm8
2022-02-19T23:50:36Z,25,UCVgO39Bk5sMo66-6o6Spn6Q,ABC News (Australia),Watch ABC News Australia live | ABC News,"['Australia', 'abc', 'abc news', 'news']",28949090,27927,,https://i.ytimg.com/vi/vOTiJkg1voo/hqdefault_live.jpg,https://i.ytimg.com/vi/vOTiJkg1voo/mqdefault_live.jpg,https://i.ytimg.com/vi/vOTiJkg1voo/default_live.jpg,vOTiJkg1voo
2022-12-30T03:30:03Z,20,UCX8pnu3DYUnx8qy8V_c6oHg,Techno Gamerz,I STOLE MOST POWERFUL TANK FROM MILITARY BASE  | GTA 5 GAMEPLAY #150,"['GTA', 'GTA 5', 'GTA ONLINE', 'PC', 'gta 5 gameplay', 'gta v hindi gameplay', 'gta 5 funny moments', 'gta 5 wins', 'gta 5 lamborghini', 'gta 5 stealing supercar', 'gta 5 stunts', 'gta 5 thug life', 'grand theft auto v', 'gta v online', 'gta 5', 'gta 5 epic moments', 'gta v funny moments', 'awesome gta 5 stunts', 'best moments', 'aj gaming', 'arish khan', 'hindustan gamer', 'chapati hindustani gamer', 'techno gamerz']",19827766,1279787,66800,https://i.ytimg.com/vi/IYoJIZxczQ8/hqdefault.jpg,https://i.ytimg.com/vi/IYoJIZxczQ8/mqdefault.jpg,https://i.ytimg.com/vi/IYoJIZxczQ8/default.jpg,IYoJIZxczQ8
2022-11-04T16:55:56Z,24,UCNcdbMyA59zE-Vk668bKWOg,Disney Junior,🔴 LIVE! All Minnie&#39;s Bow-Toons! 🎀  | NEW BOW-TOONS EPISODES! | @disneyjunior,"['disney junior', 'disney', 'junior', 'disney jr', 'djr', 'kids shows', 'minnie mouse', 'bow toons', 'live', 'mickey', 'mouse', 'minnie', 'donald', 'duck', 'goofy', 'pluto', 'daisy', 'toodles', 'preschool', 'show', 'new', 'original', 'full', 'length', 'episodes', 'official', 'roadster', 'road ster', 'racers', 'car', 'hotdog', 'hot dog', 'dance', 'club', 'bow tique', 'bowtique', 'cuckoo-loca', 'bowtoons', 'clarabelle']",12749714,28255,0,https://i.ytimg.com/vi/d8X_G4NyMbk/hqdefault_live.jpg,https://i.ytimg.com/vi/d8X_G4NyMbk/mqdefault_live.jpg,https://i.ytimg.com/vi/d8X_G4NyMbk/default_live.jpg,d8X_G4NyMbk
2022-11-02T11:33:18Z,24,UCtyh5H4_LBOLr1utu6FzvoQ,Hop Hop the Owl,🔴 Baby cartoons &amp; Baby videos LIVE. Full episodes cartoon for kids with Hop Hop the Owl,"['baby', 'baby cartoon', 'baby cartoons', 'baby learning videos', 'baby owl', 'baby videos', 'cartoon for babies', 'cartoon for kids', 'cartoons', 'cartoons for babies', 'cartoons for kids', 'for babies', 'for kids', 'full episode', 'full episodes', 'hop hop the owl', 'learn', 'learning', 'learning videos', 'live', 'owl cartoon', 'play', 'videos for babies']",12312762,66248,0,https://i.ytimg.com/vi/Cp_gwpEuEfo/hqdefault_live.jpg,https://i.ytimg.com/vi/Cp_gwpEuEfo/mqdefault_live.jpg,https://i.ytimg.com/vi/Cp_gwpEuEfo/default_live.jpg,Cp_gwpEuEfo
2022-11-26T00:40:34Z,25,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,🔴 Al Jazeera English | Live,"['al jazeera live', 'al jazeera english', 'al jazeera', 'Al Jazeera English', 'Al Jazeera', 'aljazeera English', 'aljazeera live', 'aljazeera live news', 'aljazeera latest', 'latest news', 'news headlines', 'al jazeera video']",11082024,21512,0,https://i.ytimg.com/vi/GEumHK0hfdo/hqdefault_live.jpg,https://i.ytimg.com/vi/GEumHK0hfdo/mqdefault_live.jpg,https://i.ytimg.com/vi/GEumHK0hfdo/default_live.jpg,GEumHK0hfdo
2022-11-25T18:56:50Z,25,UCCgLMMp4lv7fSD2sBz1Ai6Q,OTV,OTV Live 24x7  | Latest Odisha News Live Updates | Latest National News In Odia Live  | OTV,"['otv', 'otv news', 'odisha tv', 'odishatv', 'odisha news', 'latest odisha news', 'odisha current news', 'breaking news odisha', 'otv odisha', 'odisha tv latest', 'latest news otv', 'latest odia News', 'ଓଟିଭି', 'ଓଡ଼ିଆ news', 'odia news headlines', 'otv youtube', 'otv live news', 'nirmala sitharaman', 'budget', 'union budget', 'budget 2023', 'union budget 2023', 'budget live', 'budget session live', 'union budget live', 'union budget live updates', 'nirmala sitharaman live', 'india budget live', 'center budget']",9605029,25268,0,https://i.ytimg.com/vi/UWY2p8YEnb8/hqdefault_live.jpg,https://i.ytimg.com/vi/UWY2p8YEnb8/mqdefault_live.jpg,https://i.ytimg.com/vi/UWY2p8YEnb8/default_live.jpg,UWY2p8YEnb8
